Strategy,Ann.Return (%),Ann.Vol (%),Sharpe,Sortino,Max DD (%),Jensen α (%),Beta,p(α),Calmar,Breakeven (bps)
SPY B&H,7.0018,19.7779,0.4414,0.4093,-59.576,-0.0,1.0,0.0171,0.1175,
EW 1/N,5.7057,19.0837,0.3867,0.3554,-58.4887,-0.8398,0.9415,0.3815,0.0976,
Static MVP,6.1132,14.5304,0.4813,0.4488,-38.1595,1.5214,0.6268,0.3824,0.1602,86.1192
Static TPF,5.9705,19.8507,0.3919,0.36,-48.7989,0.9277,0.7848,0.7442,0.1223,0.0
VIX-MVP,6.0429,13.4434,0.5039,0.473,-34.388,1.8824,0.5603,0.2819,0.1757,125.3337
VIX-TPF,6.0498,16.0268,0.447,0.4106,-32.168,1.449,0.6545,0.5046,0.1881,12.7711
HMM-MVP,6.1868,13.9451,0.5004,0.4687,-38.7244,2.0319,0.5666,0.2869,0.1598,77.506
HMM-TPF,5.1573,15.7308,0.3986,0.3691,-55.0838,0.4842,0.6627,0.8086,0.0936,0.0
GMM-MVP,6.6896,13.9055,0.5354,0.4991,-39.8296,2.3981,0.5781,0.1874,0.168,117.9553
GMM-TPF,3.8643,18.1381,0.3002,0.2773,-44.4537,-0.9303,0.7302,0.7122,0.0869,0.0
Ensemble-MVP,6.7654,13.6645,0.5476,0.5127,-35.5812,2.5744,0.5622,0.1584,0.1901,173.5731
Ensemble-TPF,5.6438,16.6303,0.4138,0.3779,-48.257,0.8167,0.6946,0.7045,0.117,0.0
